cartodb_id,the_geom,segment_id,hour_23_avg,hour_22_avg,hour_21_avg,hour_20_avg,hour_19_avg,hour_18_avg,hour_17_avg,hour_16_avg,hour_15_avg,hour_14_avg,hour_13_avg,hour_12_avg,hour_11_avg,hour_10_avg,hour_9_avg,hour_8_avg,hour_7_avg,hour_6_avg,hour_5_avg,hour_4_avg,hour_3_avg,hour_2_avg,hour_1_avg,hour_0_avg,right_segment_id,right_drive_on_right,right_oneway,count_vals,count_vals_density
2027,0105000020E61000000800000001020000000300000073309B00C368594076DFEF1F24B609400B7BDAE1AF685940CD9308E0A8B50940A96BED7DAA6859400B49A0A098B50940010200000002000000A96BED7DAA6859400B49A0A098B509408AE76C01A168594061E5E9BF7BB509400102000000020000008AE76C01A168594061E5E9BF7BB509403FE603029D6859401A7CABBF6FB509400102000000020000003FE603029D6859401A7CABBF6FB509405FB532E197685940B7F1C4FF5FB509400102000000030000005FB532E197685940B7F1C4FF5FB509407845F0BF95685940E4DCE4BF59B50940ECA2E8818F685940989C7F6033B50940010200000002000000ECA2E8818F685940989C7F6033B509406DE2E47E876859409BE74660C5B409400102000000030000006DE2E47E876859409BE74660C5B40940BE4F55A1816859401771AE1F6AB40940094E7D2079685940CAB1AB7FC6B30940010200000002000000094E7D2079685940CAB1AB7FC6B3094088BD50C076685940F4682E6097B30940,63652774624,,33,38,,52,57,24,,56,39,34,40,46,,40,38,,,,,64,37,,51,63652774624,0,1,2,769230.769230769
2189,0105000020E610000002000000010200000002000000E84B6F7F2E665940E91EC0BF94130940E84B6F7F2E665940132FAAA0FD130940010200000002000000E84B6F7F2E665940132FAAA0FD1309402A3BFDA02E665940A84D833F4F150940,69189255904,65,69,99,79,82,75,114,85,93,78,84,91,85,88,,,,90,102,95,,,67,70,69189255904,0,1,3,1153846.15384615
2190,0105000020E610000001000000010200000007000000000000A02E665940000000404F150940000000202E665940000000E04D170940000000402D665940000000C0F9180940000000C02D6659400000000066220940000000002E665940000000208F240940000000C02E6659400000002061260940000000402F665940000000C07E270940,69222810336,,,,,88,87,,,92,96,,,74,,,97,,,,,,,,79,69222810336,0,1,4,1538461.53846154
2191,0105000020E610000001000000010200000005000000000000402F665940000000C07E2709400000000030665940000000E0CB280940000000803266594000000080DF2A094000000000436659400000006098370940000000A0456659400000000076390940,69256364768,,,,,97,,,,61,,,,,,,,,,,,,,,,69256364768,0,1,2,769230.769230769
2319,0105000020E610000005000000010200000002000000D8D64FFF596B5940B1B56B003ED108406D0377A04E6B59404518F5FF60CE08400102000000030000006D0377A04E6B59404518F5FF60CE08401AC39CA04D6B594056E1C77F1ECE0840D921FE614B6B59407678218048CD0840010200000002000000D921FE614B6B59407678218048CD08407B336ABE4A6B59401413CC7FE5CC08400102000000020000007B336ABE4A6B59401413CC7FE5CC08409F71E140486B5940AF2526A070CB08400102000000030000009F71E140486B5940AF2526A070CB0840A662635E476B5940DCB7DE5FD2CA08401381EA1F446B5940E5ECBEDF3FC80840,73584886496,52,36,48,46,10,11,31,37,30,40,36,49,62,44,48,60,47,62,50,57,76,45,81,55,73584886496,0,1,3,1153846.15384615
2320,0105000020E610000009000000010200000002000000D2DF4BE1416B59400153E5FF7EC6084091F0BDBF416B59401450555F65C6084001020000000200000091F0BDBF416B59401450555F65C608408690F3FE3F6B594017C5611F53C508400102000000020000008690F3FE3F6B594017C5611F53C508405740A19E3E6B594036CC4C407EC408400102000000020000005740A19E3E6B594036CC4C407EC40840A06EA0C03B6B5940F8D8861FD6C20840010200000002000000A06EA0C03B6B5940F8D8861FD6C208401EDE7360396B59402E294E20B2C108400102000000030000001EDE7360396B59402E294E20B2C10840556D37C1376B59400DD77280C3C00840F7CC9200356B5940398464E004BF0840010200000003000000F7CC9200356B5940398464E004BF0840B5DD04DF346B594035BAFF9FF5BE08403FADA23F346B5940343B625F78BE08400102000000030000003FADA23F346B5940343B625F78BE0840C87C40A0336B5940F8C3CF7F0FBE0840BD1C76DF316B59409E9E9000E2BC0840010200000002000000BD1C76DF316B59409E9E9000E2BC084005FD851E316B59400B84B6FF75BC0840,73618440928,47,28,32,23,9,11,24,47,37,31,31,55,29,,,35,35,38,,50,70,70,46,63,73618440928,0,1,4,1538461.53846154
2331,0105000020E610000001000000010200000006000000DFFAB0DEA86659408D5552403D1209409C3237DF886659402EFBF9DFDF1209403B6EF8DD746659408C067CC034130940FBC9181F666659402E5461E077130940A3957B8159665940D6215060AE130940F2B4FCC055665940996CB89FBE130940,74021094112,49,70,45,77,45,60,59,44,92,71,48,44,62,41,55,58,,47,,,,,44,54,74021094112,0,1,1,384615.384615385
2441,0105000020E6100000050000000102000000030000005D6DC5FEB26E5940CAA276E018490940060FD3BEB96E594096374DC02B4909403CA1D79FC46E594065F259E0234909400102000000020000003CA1D79FC46E594065F259E0234909400C570740DC6E5940B634D0DFF84809400102000000030000000C570740DC6E5940B634D0DFF8480940C576F700DD6E5940AB5AF35FF748094066D993C0E66E59401BE5ECDFED48094001020000000400000066D993C0E66E59401BE5ECDFED4809401EF98381E76E5940BC246B60ED480940D5CA845FEA6E594053AAE91FE94809405A828C800A6F59402EE25C3FD44809400102000000030000005A828C800A6F59402EE25C3FD4480940F1845E7F126F59408F394BA0F3480940C55565DF156F59405184B3DF03490940,77611418336,14,11,8,6,6,8,7,7,7,13,9,8,10,16,23,27,,,46,41,35,,76,29,77611418336,0,1,2,769230.769230769
2468,0105000020E61000000400000001020000000600000041D47D0052665940504E7A000714094090F63FC05A6659407FEF3EE0E41309405D88D51F6166594092ECAE3FCB130940C26A2C616D66594096381BC095130940963E74417D665940BB2539605713094021E4BCFF8F66594036896ADF1613094001020000000200000021E4BCFF8F66594036896ADF161309401DC9E53FA46659409A2B2040C81209400102000000020000001DC9E53FA46659409A2B2040C812094062D9CC21A9665940803D70DFB412094001020000000200000062D9CC21A9665940803D70DFB4120940535BEA20AF6659402E7D01209B120940,78450279136,52,,,,29,39,,,32,21,36,,,29,,,,,,,,,,42,78450279136,0,1,1,384615.384615385
2474,0105000020E6100000030000000102000000050000003D9E961FB8665940B75CA21FB23D09409A3E3BE0BA6659404D52B2FFAE3D0940B7EF517FBD66594048F8DEDFA03D0940A180ED60C466594048F8DEDFA03D09402C29779FE3665940EE913080AE3D09400102000000020000002C29779FE3665940EE913080AE3D09400D36751E156759408E3BE79FC73D09400102000000070000000D36751E156759408E3BE79FC73D094005FA449E24675940F7B568E0CB3D094001DC2C5E2C675940C116A2E0B53D0940CFBBB1A03067594020D72360B63D0940CB9D996038675940B0DC98BFBE3D0940054EB6813B67594055E67B80CD3D09406ADFDC5F3D675940975F1F00E53D0940,78651605728,,,49,,,,,,51,,,,53,,,,,,,,,,,,78651605728,0,1,6,2307692.30769231
2475,0105000020E6100000020000000102000000050000006ADFDC5F3D675940975F1F00E53D094045F5D6C056675940227B5260E03D094019C6DD205A67594027D52580EE3D09407E5704FF5B675940F369FC5F013E0940A6B6D4415E675940592880FF393E0940010200000006000000A6B6D4415E675940592880FF393E0940761893FE5E6759402B8860A0943E0940941799805F675940D4AAA7A0EC3F0940ED48F59D5F67594087AA352084400940702711E15F6759404A5C6CFF6F410940284701A260675940649F74E0A4420940,78685160160,44,39,42,46,46,47,47,54,47,44,31,59,63,54,47,,50,49,,,,,,51,78685160160,0,1,1,384615.384615385
2571,0105000020E610000001000000010200000006000000000000A035685940000000C013A50940000000E03E685940000000C074A80940000000804E68594000000020B6AD094000000060526859400000008058AF0940000000005D68594000000020B3B30940000000805E6859400000000034B40940,81906385632,,,,,,,,,,,92,,,,,,,,,,,,,,81906385632,0,1,3,1153846.15384615
2572,0105000020E610000001000000010200000008000000000000805E6859400000000034B409400000002064685940000000401CB60940000000806A685940000000E051B80940000000C06D6859400000004051B9094000000000736859400000000064BA0940000000007668594000000040E1BA0940000000007D685940000000A0BFBB094000000080A7685940000000A0E4C00940,81939940064,,,,,,,,,,,131,,,,,,,,,,,,,,81939940064,0,1,6,2307692.30769231
2587,0105000020E610000002000000010200000006000000F0879FFF1E69594073117C5F9ECE0940B6D782DE1B6959408B7227E0F0CD09403DD4B661146959406AC7E43F6ACC0940F8C3CF7F0F695940B62328C0A8CB094047E350BF0B69594098F373E028CB09400D33349E0869594045C2CE7FD5CA09400102000000060000000D33349E0869594045C2CE7FD5CA0940F9C08EFF02695940D4AB75A056CA09407B4B395FEC685940459C6FC0BEC809407F69519FE4685940EE92FE7F18C80940F2785A7EE068594092ADB2DFA8C70940567F8461C06859405D6003E0A7C30940,82476810976,,64,,,,,,,,,,,,,,,,,,,,,,,82476810976,0,1,2,769230.769230769
2639,0105000020E610000003000000010200000002000000C55565DF156F59405184B3DF034909400E846401136F5940EAF45180074A09400102000000030000000E846401136F5940EAF45180074A09408CF337A1106F5940242F84FF214B09400B630B410E6F5940062F97E0164C09400102000000040000000B630B410E6F5940062F97E0164C0940B3B3E89D0A6F5940F1CA8160864D0940A2629CBF096F594006C587C02E4E09406C21C841096F5940200237207C4F0940,84288750304,,,70,,,,34,,34,9,14,,,,,,,,,,42,,87,,84288750304,0,1,2,769230.769230769
2661,0105000020E610000001000000010200000003000000BE2EC37FBA645940B7E28F60B2AA09401CD2A8C0C96459407F1D9320B7AA09402A53CC41D0645940E093B9BF9BAA0940,85060502240,,,,76,64,57,,67,47,57,60,,49,51,48,60,47,50,50,,,,,59,85060502240,0,1,3,1153846.15384615
2693,0105000020E610000003000000010200000004000000745DF8C1F9685940D9D4B3FF85DE084062BEBC00FB685940B9D730E0B8DE0840492EFF21FD68594080EDA2E010DF084065DF15C1FF6859400727A25F5BDF084001020000000500000065DF15C1FF6859400727A25F5BDF0840EA42ACFE086959405940781F0DE00840A583F57F0E695940A027AFDF5DE00840F1845E7F1269594033C4902085E00840A165DD3F16695940B759619FA5E00840010200000006000000A165DD3F16695940B759619FA5E008408CF678211D695940252EB6FFB7E0084011A8FE4124695940087D9F60B5E00840DE3994A12A695940533F0C0097E00840ABCB2901316959407E86FDBF66E008408BFCFA213669594066BE839F38E00840,86134244064,38,41,44,41,37,47,39,43,51,40,42,37,46,42,51,44,42,45,48,45,48,41,46,40,86134244064,0,1,1,384615.384615385
2694,0105000020E610000004000000010200000002000000EE5A423EE8685940AAF27F3FE3D70840419B1C3EE96859403B651CC0AED8084001020000000D000000419B1C3EE96859403B651CC0AED80840CFD90242EB685940691072201CDA084069ACFD9DED6859408D26597F32DB0840A35C1ABFF0685940C1E6DA1F41DC0840BF0D315EF36859406B3367E0F4DC08404D4C1762F5685940E9B964A05BDD0840395FECBDF868594094A97AE000DE0840EA3F6B7EFC6859404C03DC7FA6DE08406CD097DEFE68594051DBA75FF9DE0840B81FF0C0006959402BEE89BF37DF08400D33349E08695940CC866F40CFDF08405DA3E5400F695940301FBD9F22E008407D7555A016695940733C8F1F64E008400102000000040000007D7555A016695940733C8F1F64E00840369545611769594047516F5F6AE008405C5837DE1D695940BF6F32607FE0084011A8FE41246959407C60C77F81E0084001020000000500000011A8FE41246959407C60C77F81E008405B5B785E2A695940DD467F3F67E00840CFBBB1A03069594039D363DF3EE00840A65F22DE3A69594067D65240DADF08405B61FA5E43695940D885DD7F7DDF0840,86167798496,,,,,,43,29,39,,,,,,,,54,,,,,,,,,86167798496,0,1,1,384615.384615385
2698,0105000020E61000000A0000000102000000020000003DB9A640666959409AE6A1DF8CCC0840A298BC01666959406095454009CC0840010200000003000000A298BC01666959406095454009CC0840FBC9181F666959402D7C5C9F62CA08403DB9A6406669594069B2561FD5C908400102000000020000003DB9A6406669594069B2561FD5C9084096EA025E6669594033AD66001CC9084001020000000200000096EA025E6669594033AD66001CC9084096EA025E66695940EEF9CC1FF4C8084001020000000200000096EA025E66695940EEF9CC1FF4C8084096EA025E6669594004B33A20A6C8084001020000000200000096EA025E6669594004B33A20A6C80840D7D9907F66695940E2B8210017C80840010200000002000000D7D9907F66695940E2B8210017C8084019C91EA16669594040BD7C5F1AC6084001020000000200000019C91EA16669594040BD7C5F1AC6084072FA7ABE66695940FF6D1EA05EC5084001020000000300000072FA7ABE66695940FF6D1EA05EC5084019C91EA1666959407243DF1FE7C408405649641F646959403E9A879F41C308400102000000030000005649641F646959403E9A879F41C30840B80721205F69594089D06B6069C0084052280B5F5F6959405E3013A001C00840,86302016224,,,49,,,,,63,,32,43,39,,39,,,,,,,,,,38,86302016224,0,1,2,769230.769230769
2702,0105000020E6100000040000000102000000030000007A39ECBE6369594041BCAE5FB0DB0840B4E908E066695940E4586AFFFBDA08402A1A6B7F676959404055E0BFD4DA08400102000000020000002A1A6B7F676959404055E0BFD4DA0840BF49D3A068695940FDC77C1F92DA0840010200000002000000BF49D3A068695940FDC77C1F92DA0840F8F9EFC16B695940E2E334C0DCD90840010200000002000000F8F9EFC16B695940E2E334C0DCD90840020CCB9F6F695940DEB201E0F1D80840,86436233952,44,41,49,72,40,43,38,39,42,46,40,45,44,43,43,45,,,,,,61,54,47,86436233952,0,1,9,3461538.46153846
2721,0105000020E6100000030000000102000000050000003DD175E1076B59408FB69EDFFFC0084039B35DA10F6B59409E5AE09F10C108403DD4B661146B59404A743BA011C108409A266C3F196B59400F7BA180EDC00840F0879FFF1E6B594056E33A00C1C00840010200000002000000F0879FFF1E6B594056E33A00C1C00840F3AB3940306B59407E86FDBF66C00840010200000002000000F3AB3940306B59407E86FDBF66C00840541F48DE396B5940AB018C5F5FC00840,87040213728,67,76,71,92,93,77,81,67,78,,91,75,81,71,84,,,,,,,,,,87040213728,0,1,2,769230.769230769
2722,0105000020E610000001000000010200000005000000000000E0396B5940000000605FC00840000000C0456B5940000000607EC00840000000C06D6B594000000080F7C00840000000407A6B59400000004009C1084000000000986B5940000000E0E3C00840,87073768160,96,86,,,,,83,,,,77,,,,,,,,,,,,,,87073768160,0,1,2,769230.769230769
2743,0105000020E610000005000000010200000002000000EF5701BEDB6D5940A28CE17F65EC0940971DE21FB66D5940A4B217C04AEC0940010200000002000000971DE21FB66D5940A4B217C04AEC0940126C5CFFAE6D594084445EFF43EC0940010200000002000000126C5CFFAE6D594084445EFF43EC0940E5637781926D5940F6F48DBF1FEC0940010200000002000000E5637781926D5940F6F48DBF1FEC094095F3C5DE8B6D5940B9D5BD5F16EC094001020000000200000095F3C5DE8B6D5940B9D5BD5F16EC09403259DC7F646D5940F940FA3FEAEB0940,87778411232,,,,,,183,,178,,54,,65,,,77,,,,,,,,,,87778411232,0,1,2,769230.769230769
2745,0105000020E610000005000000010200000002000000B8019F1F466D594092DA382011EC0940E833A0DE8C6D59403202E8FF6EEC0940010200000002000000E833A0DE8C6D59403202E8FF6EEC0940B5C5353E936D59405370A1C075EC0940010200000002000000B5C5353E936D59405370A1C075EC0940B83A00E2AE6D59401F0578A088EC0940010200000002000000B83A00E2AE6D59401F0578A088EC094062DC0DA2B56D5940E73F7B608DEC094001020000000200000062DC0DA2B56D5940E73F7B608DEC09409A417C60C76D59407C0F5500A5EC0940,87845520096,85,,,,,,,,63,,60,57,62,,,,,,,,,,,,87845520096,0,1,2,769230.769230769
2759,0105000020E6100000030000000102000000020000004CFE277FF7685940B7218CC0D4B60940A1866F61DD6859408BEB6B9F86B60940010200000002000000A1866F61DD6859408BEB6B9F86B609404DF564FED1685940BAFCC19F65B609400102000000030000004DF564FED1685940BAFCC19F65B6094022C32ADEC86859405D6276604AB6094073309B00C368594076DFEF1F24B60940,88415945440,12,11,15,,21,18,25,15,,,51,,37,88,30,15,,,,,,,,,88415945440,0,1,2,769230.769230769
