Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax
9493,Rendah,PPD SERIAN,YBB8238,SK RIIH DASO,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,,TIADA
9494,Rendah,PPD SERIAN,YBB8239,SK MAWANG TAUP,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9495,Rendah,PPD SERIAN,YBB8240,SK KRANGAN,D/A PEJABAT PENDIDIKAN DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9496,Rendah,PPD SERIAN,YBB8241,SK ENTAYAN,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9497,Rendah,PPD SERIAN,YBB8242,SK MERBAU,D/A PEJABAT PENDIDIKAN  DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9498,Rendah,PPD SERIAN,YBB8243,SK KRAIT,D/A PEJABAT PENDIDIKAN  DAERAH SERIAN,94700,SERIAN,SARAWAK,082895824,TIADA
9499,Rendah,PPD SERIAN,YBB8244,SK MERAKAI,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9500,Rendah,PPD SERIAN,YBB8245,SK SEMADA,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,,
9501,Rendah,PPD SERIAN,YBB8246,SK KUJANG SAIN,PEJABAT PENDIDIKAN DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9502,Rendah,PPD SERIAN,YBB8247,SK SUNGAN,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9503,Rendah,PPD SERIAN,YBB8249,SK KUJANG MAWANG,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9504,Rendah,PPD SERIAN,YBB8251,SK PANGKALAN SORAH,D/A PEJABAT PENDIDIKAN DAERAH SERIAN,94700,SERIAN,SARAWAK,082896242,TIADA
9505,Rendah,PPD SERIAN,YBB8252,SK LUBOK ANTU REBAN,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,082896997,TIADA
9506,Rendah,PPD SERIAN,YBB8253,SK SUMPAS,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9507,Rendah,PPD SERIAN,YBB8254,SK ENTUBUH,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9508,Rendah,PPD SERIAN,YBB8255,SK PRIDAN,D/A PEJABAT PENDIDIKAN DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9509,Rendah,PPD SERIAN,YBB8256,SK MENTU TAPU,D/A PEJABAT PENDIDIKAN DAERAH SERIAN,94700,SERIAN,SARAWAK,TIADA,TIADA
9510,Rendah,PPD SERIAN,YBB8257,SK PLAMAN BAKI / MENAUL,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,082896213,
9511,Rendah,PPD SIMUNJAN,YBB8301,SK RAJAU ENSIKA,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
